ExploGID,Exploration,Log_URL,Grnd_El_ft,TD_ft,TD_El_ft,BOH_GeoUnit,Fill_Dp_Up_ft,Fill_Dp_Lw_ft,Fill_El_Up_ft,Fill_El_Lw_ft,Qvr_Dp_Up_ft,Qvr_Dp_Lw_ft,Qvr_El_Up_ft,Qvr_El_Lw_ft,Qvrl_Dp_Up_ft,Qvrl_Dp_Lw_ft,Qvrl_El_Up_ft,Qvrl_El_Lw_ft,Qvi_Dp_Up_ft,Qvi_Dp_Lw_ft,Qvi_El_Up_ft,Qvi_El_Lw_ft,QviQvt_Dp_Up_ft,QviQvt_Dp_Lw_ft,QviQvt_El_Up_ft,QviQvt_El_Lw_ft,Qvt_Dp_Up_ft,Qvt_Dp_Lw_ft,Qvt_El_Up_ft,Qvt_El_Lw_ft,QvisQva_Dp_Up_ft,QvisQva_Dp_Lw_ft,QvisQva_El_Up_ft,QvisQva_El_Lw_ft,Qva_Dp_Up_ft,Qva_Dp_Lw_ft,Qva_El_Up_ft,Qva_El_Lw_ft,QvaQpvg_Dp_Up_ft,QvaQpvg_Dp_Lw_ft,QvaQpvg_El_Up_ft,QvaQpvg_El_Lw_ft,Qo_Dp_Up_ft,Qo_Dp_Lw_ft,Qo_El_Up_ft,Qo_El_Lw_ft,QoQpo_Dp_Up_ft,QoQpo_Dp_Lw_ft,QoQpo_El_Up_ft,QoQpo_El_Lw_ft,Qpo_Dp_Up_ft,Qpo_Dp_Lw_ft,Qpo_El_Up_ft,Qpo_El_Lw_ft,Qpog_Dp_Up_ft,Qpog_Dp_Lw_ft,Qpog_El_Up_ft,Qpog_El_Lw_ft,Qpvg_Dp_Up_ft,Qpvg_Dp_Lw_ft,Qpvg_El_Up_ft,Qpvg_El_Lw_ft,QpvgQpy_Dp_Up_ft,QpvgQpy_Dp_Lw_ft,QpvgQpy_El_Up_ft,QpvgQpy_El_Lw_ft,Qpy_Dp_Up_ft,Qpy_Dp_Lw_ft,Qpy_El_Up_ft,Qpy_El_Lw_ft,Qppyg_Dp_Up_ft,Qppyg_Dp_Lw_ft,Qppyg_El_Up_ft,Qppyg_El_Lw_ft,Qppyn_Dp_Up_ft,Qppyn_Dp_Lw_ft,Qppyn_El_Up_ft,Qppyn_El_Lw_ft
{08036635-954a-49fe-8bf0-3743bbde1c82},TW-25,TW-25 Log,685.0,100.0,585.0,Qo,--,--,--,--,0.0,16.0,685.0,669.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.0,50.0,669.0,635.0,50.0,81.0,635.0,604.0,--,--,--,--,81,BBOH,604.0,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{ee5e3095-6404-4807-b8f8-b42c35c11b74},TW-26,TW-26 Log,680.0,100.0,580.0,Qva,--,--,--,--,0.0,20.0,680.0,660.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.0,51.5,660.0,628.5,51.5,BBOH,628.5,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{770764df-4182-47b7-8616-5e38bd6274c4},TW-27,TW-27 Log,676.0,100.0,576.0,Qva,0.0,11.5,676.0,664.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.5,41.0,664.5,635.0,41.0,BBOH,635.0,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{dc8d17a2-9a4b-478f-96ba-f28d1ca7bfed},TW-2CRP,TW-2CRP Log,465.0,90.0,375.0,Qvr,--,--,--,--,0.0,BBOH,465.0,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{99c4ad79-c31b-458f-9904-5e5466f0c16e},TW-46,TW-46 Log,447.9,74.0,373.9,Qpy,--,--,--,--,0.0,21.0,447.9,426.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,72,426.9,375.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72,BBOH,375.9,BBOH,--,--,--,--,--,--,--,--
{c22d5a4f-74b5-4dc9-bf46-171fc06ebb5c},TW-47,TW-47 Log,489.1,76.0,413.1,Qpy,--,--,--,--,0.0,15.0,489.1,474.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,71,474.1,418.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71,BBOH,418.1,BBOH,--,--,--,--,--,--,--,--
by others,TW-6,TW-6 Log,674.0,275.0,399.0,Qpy,--,--,--,--,0.0,18.0,674.0,656.0,--,--,--,--,--,--,--,--,--,--,--,--,18.0,42.0,656.0,632.0,--,--,--,--,42.0,70.0,632.0,604.0,--,--,--,--,70,218,604.0,456.0,218,255,456.0,419.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,255,BBOH,419.0,BBOH,--,--,--,--,--,--,--,--
by others,TW-7,TW-7 Log,671.0,265.0,406.0,Qpy,--,--,--,--,0.0,38.0,671.0,633.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38.0,66.0,633.0,605.0,--,--,--,--,66,195,605.0,476.0,195,254,476.0,417.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,254,BBOH,417.0,BBOH,--,--,--,--,--,--,--,--
by others,TW-8,TW-8 Log,662.0,276.0,386.0,Qpy,--,--,--,--,0.0,17.0,662.0,645.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.0,36.0,645.0,626.0,--,--,--,--,36,200,626.0,462.0,200,260,462.0,402.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,260,BBOH,402.0,BBOH,--,--,--,--,--,--,--,--
{5ba248cd-a645-4def-92ae-ef21c6a34781},TW-9,TW-9 Log,569.1,260.0,309.1,Qppyn,--,--,--,--,0.5,132.5,568.6,436.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,132.5,150,436.6,419.1,--,--,--,--,150,218,419.1,351.1,--,--,--,--,218,BBOH,351.1,BBOH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
